Gulf Region Google Maps Grid Summary
========================================
  Cape Town                20 grid points
  Gqeberha                  2 grid points
  Durban                    9 grid points
  Johannesburg             24 grid points
  Lesotho                 110 grid points
  Windhoek                  1 grid points
  Harare                   12 grid points
  Gaborone                  4 grid points
  Huambo                    1 grid points
  Catumbela                 1 grid points
  Luanda                    9 grid points
  Inhambane                 6 grid points
  Beira                     1 grid points
  Blantyre                  2 grid points
  Lilongwe                  2 grid points
  Dar es Salaam             9 grid points
  Zanzibar City             2 grid points
  Nairobi                   6 grid points
  Mombasa                   2 grid points
  Kampala                   4 grid points
  Kinshasa                  6 grid points
  Kananga                   1 grid points
  Casablanca                2 grid points
  Rabat                     1 grid points
  Fez                       1 grid points
  Tunis                     4 grid points
  Lusaka                    4 grid points
  Kigali                    1 grid points
  Mogadishu                 6 grid points
  Hawassa                   1 grid points
  Manakara                  1 grid points
  Tolanaro                  1 grid points
  Mauritius                12 grid points
  Yaounde                   4 grid points
  Lagos                     6 grid points
  Dakar                     6 grid points
----------------------------------------
  Total grid points       284
  Total requests         4544  (grid points × 16 keywords)
  Est. API records     227200
  Estimated cost       $ 340.80  ($1.5/1000 records)
